age,job,marital,education,housing,loan,contact,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
39,technician,divorced,university.degree,no,yes,telephone,1,999,0,nonexistent,-0.1,93.798,-40.4,5.0,5195.8,yes
39,blue-collar,married,basic.4y,no,no,cellular,3,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
47,blue-collar,divorced,basic.9y,no,no,telephone,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
32,housemaid,married,university.degree,yes,no,telephone,3,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
37,blue-collar,divorced,high.school,yes,no,cellular,5,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
37,technician,married,professional.course,no,no,telephone,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
36,admin.,single,university.degree,no,no,cellular,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
65,housemaid,married,basic.4y,no,no,cellular,2,999,0,nonexistent,-2.9,92.963,-40.8,1.266,5076.2,no
28,unemployed,single,high.school,no,no,cellular,1,999,0,nonexistent,-1.8,93.075,-47.1,1.392,5099.1,yes
34,services,married,basic.9y,yes,no,cellular,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
49,blue-collar,married,basic.9y,no,no,telephone,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
34,blue-collar,married,basic.9y,yes,no,cellular,4,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,yes
57,services,married,high.school,yes,no,cellular,2,999,1,failure,-1.8,93.075,-47.1,1.435,5099.1,no
35,services,married,basic.9y,yes,no,telephone,4,999,2,failure,-1.8,93.075,-47.1,1.405,5099.1,no
50,blue-collar,married,basic.9y,yes,no,cellular,4,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
30,blue-collar,married,high.school,yes,no,cellular,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
36,admin.,married,university.degree,yes,no,cellular,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
24,technician,single,high.school,yes,no,cellular,4,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,yes
29,admin.,single,university.degree,no,no,cellular,1,3,3,success,-1.8,93.876,-40.0,0.683,5008.7,yes
36,admin.,single,university.degree,yes,no,cellular,7,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,yes
35,blue-collar,single,professional.course,no,yes,telephone,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
48,admin.,married,university.degree,yes,no,cellular,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
35,services,married,basic.9y,no,no,cellular,1,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,no
30,entrepreneur,married,basic.9y,no,no,telephone,2,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,no
33,technician,single,professional.course,yes,no,cellular,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
31,blue-collar,married,basic.9y,no,no,cellular,4,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
37,blue-collar,married,basic.4y,yes,no,cellular,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
22,student,single,high.school,yes,yes,cellular,3,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,yes
27,student,single,university.degree,yes,no,cellular,2,999,0,nonexistent,-2.9,92.201,-31.4,0.825,5076.2,no
54,blue-collar,married,basic.9y,yes,no,cellular,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
43,blue-collar,single,basic.9y,no,no,cellular,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
35,admin.,single,high.school,no,no,cellular,2,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
28,student,single,high.school,yes,no,cellular,1,999,0,nonexistent,-2.9,92.201,-31.4,0.879,5076.2,no
41,services,married,basic.9y,no,no,telephone,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
29,admin.,single,university.degree,no,no,cellular,6,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
42,blue-collar,single,basic.6y,unknown,unknown,telephone,3,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
40,housemaid,married,basic.4y,yes,yes,telephone,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
33,admin.,single,university.degree,no,no,cellular,3,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no
29,admin.,married,university.degree,yes,no,cellular,4,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
49,admin.,married,high.school,yes,no,cellular,2,999,0,nonexistent,-2.9,92.201,-31.4,0.879,5076.2,no
58,retired,married,professional.course,no,yes,telephone,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
31,admin.,single,high.school,yes,no,cellular,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
40,management,married,high.school,no,no,telephone,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
55,unemployed,married,basic.4y,yes,no,telephone,4,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
31,blue-collar,married,professional.course,yes,no,cellular,4,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
37,blue-collar,married,basic.4y,yes,no,cellular,1,999,2,failure,-1.8,92.893,-46.2,1.244,5099.1,no
41,self-employed,married,basic.9y,yes,no,cellular,3,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
32,blue-collar,divorced,basic.9y,yes,no,cellular,4,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
32,technician,single,university.degree,yes,no,cellular,4,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
30,blue-collar,single,basic.9y,yes,no,telephone,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
25,technician,married,university.degree,yes,no,cellular,1,12,1,success,-1.8,92.893,-46.2,1.291,5099.1,no
30,blue-collar,married,basic.9y,yes,yes,telephone,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
25,services,single,high.school,no,no,cellular,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
32,blue-collar,married,basic.9y,yes,no,cellular,1,999,1,failure,-1.8,93.075,-47.1,1.41,5099.1,no
54,blue-collar,married,high.school,yes,yes,cellular,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
43,admin.,married,high.school,yes,no,cellular,2,3,2,success,-2.9,92.201,-31.4,0.838,5076.2,yes
46,management,married,university.degree,yes,no,cellular,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
47,blue-collar,married,basic.4y,yes,yes,telephone,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
41,services,single,high.school,yes,yes,cellular,2,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,yes
63,technician,married,professional.course,no,no,cellular,1,999,0,nonexistent,-3.4,92.431,-26.9,0.728,5017.5,no
31,admin.,single,university.degree,no,no,telephone,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
44,management,married,unknown,no,no,telephone,2,999,1,failure,-1.8,93.749,-34.6,0.646,5008.7,yes
80,retired,married,basic.4y,no,no,cellular,1,999,2,failure,-3.4,92.431,-26.9,0.742,5017.5,yes
46,blue-collar,married,basic.6y,no,no,telephone,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
44,management,married,professional.course,yes,no,cellular,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
55,housemaid,married,basic.4y,yes,no,cellular,1,999,0,nonexistent,-1.8,93.075,-47.1,1.466,5099.1,yes
46,blue-collar,married,basic.6y,no,no,cellular,5,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
39,management,married,university.degree,yes,no,cellular,3,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
50,admin.,married,basic.6y,no,no,telephone,4,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no
31,services,single,high.school,no,yes,cellular,17,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
43,management,married,university.degree,yes,yes,cellular,5,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
42,services,married,university.degree,no,no,cellular,1,6,1,success,-3.0,92.713,-33.0,0.715,5023.5,yes
25,admin.,married,high.school,no,no,cellular,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
41,blue-collar,married,basic.9y,yes,no,telephone,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
54,admin.,divorced,unknown,no,no,cellular,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
53,technician,divorced,high.school,no,no,cellular,1,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,yes
48,admin.,married,high.school,yes,no,telephone,1,999,0,nonexistent,-1.7,94.055,-39.8,0.711,4991.6,no
46,self-employed,married,university.degree,yes,no,cellular,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
30,blue-collar,married,basic.9y,no,yes,cellular,6,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
43,blue-collar,married,basic.6y,no,no,cellular,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
30,admin.,single,high.school,no,no,telephone,2,999,0,nonexistent,1.4,93.918,-42.7,4.959,5228.1,no
41,technician,married,university.degree,yes,no,cellular,2,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no
47,services,married,high.school,no,no,telephone,8,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
29,blue-collar,single,basic.9y,no,no,cellular,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
33,management,married,university.degree,yes,no,cellular,1,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,no
41,admin.,married,basic.9y,yes,no,telephone,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
46,entrepreneur,married,high.school,no,no,cellular,2,999,1,failure,-2.9,92.963,-40.8,1.262,5076.2,no
29,services,single,high.school,no,no,cellular,2,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,yes
71,retired,married,basic.9y,no,no,cellular,1,999,0,nonexistent,-3.4,92.431,-26.9,0.742,5017.5,no
44,technician,single,professional.course,yes,no,cellular,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
30,blue-collar,married,basic.4y,no,no,telephone,3,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,no
49,services,married,high.school,yes,no,cellular,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
30,admin.,single,university.degree,yes,no,cellular,2,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no
29,technician,single,professional.course,yes,no,cellular,7,3,5,success,-1.1,94.199,-37.5,0.879,4963.6,no
36,admin.,married,university.degree,no,no,cellular,2,999,0,nonexistent,-3.4,92.431,-26.9,0.742,5017.5,no
45,blue-collar,married,professional.course,no,no,cellular,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
45,blue-collar,married,basic.9y,yes,no,telephone,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
38,technician,married,professional.course,yes,no,cellular,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes
31,admin.,single,university.degree,no,no,cellular,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
25,admin.,divorced,professional.course,no,no,cellular,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
30,services,married,basic.6y,unknown,unknown,cellular,2,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,no
51,blue-collar,married,basic.6y,yes,no,telephone,9,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no
36,technician,single,professional.course,no,yes,telephone,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
28,blue-collar,married,basic.9y,no,no,cellular,2,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,no
44,blue-collar,married,high.school,unknown,unknown,cellular,2,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
40,blue-collar,married,basic.4y,yes,yes,cellular,1,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no
47,technician,divorced,high.school,no,yes,cellular,5,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
60,blue-collar,married,basic.4y,yes,no,cellular,5,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
35,blue-collar,divorced,basic.4y,yes,no,cellular,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
32,admin.,single,university.degree,no,no,cellular,3,999,0,nonexistent,-1.8,92.843,-50.0,1.52,5099.1,no
42,technician,married,high.school,no,no,telephone,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
42,unemployed,divorced,high.school,no,no,telephone,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no
56,retired,married,high.school,yes,no,cellular,2,999,0,nonexistent,-1.8,92.893,-46.2,1.264,5099.1,no
27,services,single,high.school,yes,no,telephone,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
32,student,single,university.degree,no,no,cellular,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
36,admin.,married,university.degree,unknown,unknown,telephone,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
55,retired,married,basic.9y,yes,no,cellular,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
27,blue-collar,single,basic.9y,no,no,cellular,2,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,no
35,admin.,single,university.degree,no,no,telephone,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
35,technician,married,university.degree,yes,no,cellular,3,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no
25,student,single,high.school,yes,no,cellular,8,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,no
32,unemployed,married,university.degree,yes,no,cellular,8,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no
39,blue-collar,single,basic.4y,yes,no,cellular,1,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1,no
40,blue-collar,divorced,basic.9y,no,no,cellular,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no
32,technician,single,university.degree,no,no,cellular,1,999,1,failure,-0.1,93.2,-42.0,4.076,5195.8,no
32,admin.,married,university.degree,no,no,telephone,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,yes
51,admin.,divorced,university.degree,yes,yes,cellular,2,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no
43,blue-collar,married,basic.4y,yes,no,telephone,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
42,admin.,married,university.degree,no,no,cellular,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
38,blue-collar,divorced,high.school,yes,no,cellular,6,999,1,failure,-1.8,92.893,-46.2,1.344,5099.1,no
41,technician,married,university.degree,unknown,unknown,telephone,10,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,no
28,admin.,single,high.school,no,no,telephone,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
38,technician,married,university.degree,yes,no,cellular,1,999,0,nonexistent,-1.8,92.843,-50.0,1.687,5099.1,yes
85,retired,single,professional.course,no,no,cellular,7,7,2,success,-1.8,93.369,-34.8,0.653,5008.7,no
55,admin.,married,basic.9y,yes,yes,cellular,2,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no
33,blue-collar,married,basic.9y,no,no,cellular,1,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,no
24,student,single,unknown,yes,yes,cellular,1,3,2,success,-2.9,92.201,-31.4,0.849,5076.2,yes
38,blue-collar,married,basic.6y,no,no,telephone,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
33,technician,married,university.degree,yes,no,telephone,3,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1,no
69,retired,married,high.school,yes,no,cellular,4,999,1,failure,-1.8,93.075,-47.1,1.372,5099.1,no
32,technician,single,university.degree,no,no,cellular,3,999,0,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,no
46,blue-collar,divorced,basic.9y,yes,no,telephone,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
27,admin.,married,high.school,no,yes,cellular,7,999,0,nonexistent,-3.4,92.649,-30.1,0.714,5017.5,no
49,blue-collar,married,basic.4y,yes,no,telephone,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
48,blue-collar,divorced,professional.course,yes,no,telephone,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
33,technician,married,professional.course,no,no,telephone,4,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
57,housemaid,married,basic.4y,no,no,telephone,1,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no
38,technician,single,professional.course,yes,no,cellular,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
21,student,single,basic.9y,yes,no,cellular,2,999,0,nonexistent,-1.7,94.215,-40.3,0.797,4991.6,yes
59,admin.,divorced,professional.course,unknown,unknown,cellular,1,4,1,success,-2.9,92.201,-31.4,0.883,5076.2,yes
38,technician,single,professional.course,no,no,cellular,2,999,1,failure,-1.8,92.893,-46.2,1.244,5099.1,no
40,management,married,university.degree,yes,no,cellular,2,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no
58,entrepreneur,divorced,university.degree,no,no,telephone,2,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,no
46,admin.,married,basic.6y,yes,no,cellular,2,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
40,admin.,married,high.school,yes,no,cellular,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
46,management,divorced,basic.4y,no,no,telephone,5,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
31,blue-collar,single,basic.9y,yes,no,cellular,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
25,technician,single,professional.course,no,yes,telephone,2,999,0,nonexistent,1.4,94.465,-41.8,4.955,5228.1,no
41,housemaid,married,high.school,yes,no,cellular,4,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
31,technician,married,professional.course,no,no,telephone,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
26,services,single,high.school,yes,no,telephone,3,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
54,management,married,university.degree,no,no,cellular,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
41,unemployed,married,basic.9y,no,no,telephone,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
37,admin.,married,university.degree,yes,no,telephone,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
54,blue-collar,married,basic.9y,no,no,cellular,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no
40,blue-collar,married,professional.course,no,yes,cellular,1,999,1,failure,-0.1,93.2,-42.0,4.191,5195.8,no
42,blue-collar,married,basic.4y,yes,no,telephone,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
33,admin.,married,university.degree,no,yes,cellular,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
33,admin.,married,university.degree,yes,yes,cellular,2,999,0,nonexistent,-1.8,93.876,-40.0,0.685,5008.7,no
54,blue-collar,married,basic.9y,no,no,cellular,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
39,admin.,married,university.degree,yes,no,cellular,3,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
35,blue-collar,married,basic.6y,yes,no,cellular,2,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,no
29,admin.,single,university.degree,yes,no,cellular,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
35,technician,single,professional.course,no,no,cellular,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
34,management,married,high.school,yes,no,cellular,3,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
35,admin.,married,university.degree,no,no,cellular,5,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no
30,self-employed,married,professional.course,no,no,telephone,2,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
36,admin.,married,high.school,yes,no,cellular,3,999,0,nonexistent,-1.8,92.843,-50.0,1.584,5099.1,yes
57,retired,married,basic.4y,no,yes,telephone,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
36,unemployed,divorced,high.school,yes,no,cellular,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
32,admin.,divorced,university.degree,no,yes,cellular,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
60,retired,married,professional.course,yes,no,cellular,1,3,1,success,-3.4,92.379,-29.8,0.809,5017.5,yes
38,services,married,high.school,no,no,telephone,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no
45,admin.,divorced,university.degree,yes,no,cellular,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
36,management,married,university.degree,yes,no,cellular,1,999,1,failure,-1.8,92.893,-46.2,1.354,5099.1,yes
49,management,married,university.degree,unknown,unknown,cellular,4,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no
31,technician,married,professional.course,no,no,cellular,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
36,blue-collar,single,high.school,yes,no,cellular,24,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
50,technician,married,professional.course,no,no,cellular,2,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,no
38,admin.,divorced,high.school,yes,yes,telephone,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
48,blue-collar,married,professional.course,no,no,telephone,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
31,admin.,single,university.degree,yes,no,cellular,5,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
28,blue-collar,married,basic.4y,no,no,telephone,3,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
51,technician,married,unknown,yes,no,telephone,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
42,self-employed,married,professional.course,no,no,cellular,3,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,no
47,services,divorced,professional.course,yes,no,telephone,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
37,technician,married,professional.course,yes,no,cellular,4,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
39,blue-collar,married,basic.6y,yes,no,cellular,5,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
33,services,divorced,university.degree,yes,no,cellular,1,999,0,nonexistent,-1.8,93.075,-47.1,1.435,5099.1,no
37,admin.,married,university.degree,yes,no,telephone,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
33,technician,married,professional.course,yes,no,cellular,2,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,no
30,admin.,divorced,university.degree,no,no,telephone,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
47,technician,married,high.school,yes,no,cellular,5,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
29,blue-collar,single,high.school,yes,no,telephone,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,yes
32,admin.,single,high.school,no,no,cellular,1,999,1,failure,-3.4,92.649,-30.1,0.72,5017.5,yes
34,admin.,married,university.degree,unknown,unknown,cellular,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no
45,self-employed,married,professional.course,yes,yes,telephone,3,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
